timestamp,buyer,seller,symbol,currency,price,quantity
3200,,,EMERALDS,XIRECS,9992,8
3400,,,TOMATOES,XIRECS,5009,2
5000,,,EMERALDS,XIRECS,9992,7
7000,,,TOMATOES,XIRECS,5010,4
9600,,,TOMATOES,XIRECS,4999,5
9900,,,TOMATOES,XIRECS,5000,4
16400,,,TOMATOES,XIRECS,4996,2
17900,,,TOMATOES,XIRECS,5009,2
22200,,,TOMATOES,XIRECS,5005,3
23500,,,TOMATOES,XIRECS,4989,3
24600,,,TOMATOES,XIRECS,5002,5
26100,,,TOMATOES,XIRECS,4988,2
31400,,,EMERALDS,XIRECS,10008,3
34700,,,TOMATOES,XIRECS,4998,4
36400,,,TOMATOES,XIRECS,4986,2
36700,,,TOMATOES,XIRECS,4985,2
39400,,,TOMATOES,XIRECS,4978,2
39900,,,EMERALDS,XIRECS,9992,7
42400,,,EMERALDS,XIRECS,9992,5
43900,,,TOMATOES,XIRECS,4989,5
51300,,,EMERALDS,XIRECS,9992,7
52800,,,TOMATOES,XIRECS,4994,4
53100,,,TOMATOES,XIRECS,4995,2
53600,,,TOMATOES,XIRECS,4996,2
54400,,,TOMATOES,XIRECS,4983,3
55300,,,EMERALDS,XIRECS,9992,6
55700,,,EMERALDS,XIRECS,9992,4
59700,,,TOMATOES,XIRECS,4993,5
62700,,,EMERALDS,XIRECS,9992,8
64100,,,TOMATOES,XIRECS,4984,4
66100,,,TOMATOES,XIRECS,4990,3
66700,,,EMERALDS,XIRECS,10008,7
67300,,,EMERALDS,XIRECS,9992,7
70600,,,TOMATOES,XIRECS,4993,2
71200,,,TOMATOES,XIRECS,4993,2
73500,,,TOMATOES,XIRECS,4982,3
73700,,,EMERALDS,XIRECS,9992,3
74200,,,TOMATOES,XIRECS,4996,3
75200,,,TOMATOES,XIRECS,4982,4
78300,,,TOMATOES,XIRECS,4997,5
79100,,,TOMATOES,XIRECS,4984,5
80300,,,TOMATOES,XIRECS,4985,3
80400,,,EMERALDS,XIRECS,9992,3
80900,,,TOMATOES,XIRECS,4984,2
81000,,,TOMATOES,XIRECS,4984,4
81400,,,TOMATOES,XIRECS,4984,5
83800,,,EMERALDS,XIRECS,9992,7
84500,,,TOMATOES,XIRECS,4979,3
85500,,,TOMATOES,XIRECS,4977,2
86000,,,TOMATOES,XIRECS,4991,5
87600,,,EMERALDS,XIRECS,9992,8
93900,,,EMERALDS,XIRECS,10008,7
94000,,,TOMATOES,XIRECS,4978,3
95100,,,EMERALDS,XIRECS,9992,7
96500,,,EMERALDS,XIRECS,10008,6
97200,,,TOMATOES,XIRECS,4978,4
97500,,,TOMATOES,XIRECS,4978,3
98000,,,EMERALDS,XIRECS,9992,7
98400,,,EMERALDS,XIRECS,10008,7
101200,,,EMERALDS,XIRECS,10008,6
101600,,,EMERALDS,XIRECS,10000,6
103700,,,EMERALDS,XIRECS,9992,5
108000,,,EMERALDS,XIRECS,9992,4
110200,,,TOMATOES,XIRECS,4986,5
110700,,,EMERALDS,XIRECS,9992,6
111900,,,TOMATOES,XIRECS,4986,3
112000,,,TOMATOES,XIRECS,4999,4
113000,,,TOMATOES,XIRECS,4999,4
116300,,,TOMATOES,XIRECS,5001,2
120900,,,TOMATOES,XIRECS,4990,3
124800,,,TOMATOES,XIRECS,4989,2
128400,,,EMERALDS,XIRECS,9992,3
128700,,,TOMATOES,XIRECS,4988,3
129000,,,TOMATOES,XIRECS,5001,2
130500,,,TOMATOES,XIRECS,4985,3
130900,,,TOMATOES,XIRECS,4985,2
131700,,,EMERALDS,XIRECS,10008,8
131900,,,TOMATOES,XIRECS,4999,4
132100,,,EMERALDS,XIRECS,9992,6
132100,,,TOMATOES,XIRECS,4986,4
133400,,,TOMATOES,XIRECS,5001,4
133700,,,EMERALDS,XIRECS,10008,8
133900,,,EMERALDS,XIRECS,9992,3
135500,,,EMERALDS,XIRECS,9992,5
135600,,,EMERALDS,XIRECS,9992,7
136200,,,TOMATOES,XIRECS,4987,4
137600,,,TOMATOES,XIRECS,5001,5
141300,,,EMERALDS,XIRECS,9992,6
141700,,,TOMATOES,XIRECS,4997,5
144200,,,TOMATOES,XIRECS,4986,2
146100,,,EMERALDS,XIRECS,10008,4
151500,,,TOMATOES,XIRECS,4984,2
152000,,,EMERALDS,XIRECS,9992,4
153400,,,TOMATOES,XIRECS,4996,4
154700,,,EMERALDS,XIRECS,9992,6
156700,,,TOMATOES,XIRECS,4997,3
157600,,,TOMATOES,XIRECS,4996,3
158300,,,EMERALDS,XIRECS,10008,3
158900,,,TOMATOES,XIRECS,4976,2
159200,,,TOMATOES,XIRECS,4978,3
161000,,,TOMATOES,XIRECS,4977,3
161800,,,TOMATOES,XIRECS,4976,2
162400,,,TOMATOES,XIRECS,4976,3
162900,,,TOMATOES,XIRECS,4975,5
167300,,,TOMATOES,XIRECS,4982,2
168200,,,TOMATOES,XIRECS,4995,4
170100,,,EMERALDS,XIRECS,10000,6
170800,,,TOMATOES,XIRECS,4982,3
176000,,,TOMATOES,XIRECS,4998,4
176300,,,TOMATOES,XIRECS,4984,3
176900,,,TOMATOES,XIRECS,4985,2
180300,,,TOMATOES,XIRECS,4981,3
181100,,,TOMATOES,XIRECS,4982,4
182600,,,TOMATOES,XIRECS,4981,5
182700,,,EMERALDS,XIRECS,10008,5
185200,,,TOMATOES,XIRECS,4997,3
187100,,,TOMATOES,XIRECS,5000,2
187600,,,TOMATOES,XIRECS,4988,3
188300,,,TOMATOES,XIRECS,5002,5
189000,,,TOMATOES,XIRECS,4987,3
191700,,,TOMATOES,XIRECS,5000,3
192700,,,TOMATOES,XIRECS,4984,3
195700,,,TOMATOES,XIRECS,4991,3
202200,,,TOMATOES,XIRECS,5005,3
203600,,,TOMATOES,XIRECS,5002,4
206300,,,TOMATOES,XIRECS,5002,2
206400,,,TOMATOES,XIRECS,4989,3
207200,,,TOMATOES,XIRECS,4988,4
207500,,,EMERALDS,XIRECS,10008,7
210000,,,EMERALDS,XIRECS,9992,6
212200,,,EMERALDS,XIRECS,9992,5
212200,,,TOMATOES,XIRECS,4995,4
213300,,,TOMATOES,XIRECS,4993,2
215500,,,TOMATOES,XIRECS,5003,3
216000,,,TOMATOES,XIRECS,5001,4
218400,,,EMERALDS,XIRECS,10008,3
218700,,,TOMATOES,XIRECS,4999,4
218800,,,TOMATOES,XIRECS,4984,5
218900,,,TOMATOES,XIRECS,4986,2
219300,,,EMERALDS,XIRECS,10008,3
225900,,,EMERALDS,XIRECS,10008,8
226300,,,TOMATOES,XIRECS,4997,5
227300,,,TOMATOES,XIRECS,4998,5
229400,,,TOMATOES,XIRECS,4980,3
231600,,,TOMATOES,XIRECS,4982,3
233200,,,TOMATOES,XIRECS,4990,3
234400,,,EMERALDS,XIRECS,10008,8
236300,,,EMERALDS,XIRECS,10008,3
239100,,,TOMATOES,XIRECS,4990,5
242000,,,EMERALDS,XIRECS,10008,5
243600,,,EMERALDS,XIRECS,9992,4
248700,,,TOMATOES,XIRECS,4981,4
249000,,,TOMATOES,XIRECS,4994,4
249800,,,TOMATOES,XIRECS,4991,2
250200,,,TOMATOES,XIRECS,4991,2
251800,,,TOMATOES,XIRECS,4991,2
252300,,,TOMATOES,XIRECS,4977,4
259000,,,TOMATOES,XIRECS,4982,3
261900,,,TOMATOES,XIRECS,4984,3
262900,,,EMERALDS,XIRECS,10008,8
267600,,,TOMATOES,XIRECS,4978,3
269100,,,TOMATOES,XIRECS,4993,2
269700,,,TOMATOES,XIRECS,4987,4
274300,,,TOMATOES,XIRECS,4983,2
276300,,,TOMATOES,XIRECS,4981,5
278600,,,TOMATOES,XIRECS,4982,4
280400,,,TOMATOES,XIRECS,4989,5
281700,,,TOMATOES,XIRECS,4977,4
282200,,,TOMATOES,XIRECS,4989,4
282500,,,TOMATOES,XIRECS,4990,5
282600,,,TOMATOES,XIRECS,4989,3
285700,,,EMERALDS,XIRECS,9992,6
286800,,,TOMATOES,XIRECS,4989,2
288700,,,TOMATOES,XIRECS,4993,2
